"location","source","target"
"/install.php?profile=ding2&locale=en&id=1&op=do","creation",""
"/index.php","Vimeo videos",""
"/index.php","Videos provided by Vimeo.",""
"/index.php","YouTube videos",""
"/index.php","Videos provided by YouTube.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","oEmbed resources",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Resources provided by oEmbed.",""
"","Public files",""
"","Public local files served by the webserver.",""
"","Temporary files",""
"","Temporary local files for upload and previews.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Date only (mainly used in events)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Time only (mainly used in events)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Long date only (mainly used in news)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ding marterial lists date",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ding event lists date",""
"ding_ekurser.module:173 ding_ekurser.info:0","Ding eKurser",""
"plugins/content_types/carousel.inc:20","Ting",""
"/install.php?profile=ding2&locale=en&id=1&op=do","URL (content create)",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Select groups if they were passed in the node create URL (e.g. node/add/post?og_group_ref=4,5,6). <em>Note: Depends on <a href=""@url"">Entity reference prepopulate</a> module, and enabling ""Prepopulate"" in the field settings.</em>",""
"","Node",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Determine context by checking if a node is a group or a group content.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","User view",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Determine context by checking if a user is a group or a group content on the 'user view' page.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","User edit",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Determine context by checking if a user is a group or a group content on the 'user edit' page.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Determine context by checking if the parent content of the comment belongs to a group",""
"","content pane",""
"","Content pane",""
"","content panes",""
"","Content panes",""
"","A special cache used to store objects that are being edited; it serves to save state in an ordinarily stateless environment.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG behavior",""
"","Table that contains field group entries and settings.",""
"","Revert",""
"","Add a new @plugin",""
"","Edit @plugin %title",""
"","Clone @plugin %title",""
"","Import @plugin",""
"","Export @plugin %title",""
"","Are you sure you want to revert %title?",""
"","This action will permanently remove any customizations made to this item.",""
"","The item has been reverted.",""
"","Are you sure you want to delete %title?",""
"","This action will permanently remove this item from your database..",""
"","The item has been deleted.",""
"","%title has been created.",""
"","%title could not be created.",""
"","%title has been updated.",""
"","%title could not be updated.",""
"","You can import an exported definition by pasting the exported object code into the field below.",""
"","@plugin %title was enabled.",""
"","@plugin %title was disabled.",""
"","There are no @titles to display.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","menu block",""
"","Menu Block",""
"/install.php?profile=ding2&locale=en&id=1&op=do","menu blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Menu Blocks",""
"/install.php?profile=ding2&locale=en&id=1&op=do","provider",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Provider",""
"/install.php?profile=ding2&locale=en&id=1&op=do","providers",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Providers",""
"","layout",""
"","Layout",""
"/install.php?profile=ding2&locale=en&id=1&op=do","layouts",""
"","Layouts",""
"/install.php?profile=ding2&locale=en&id=1&op=do","existing page",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Existing task",""
"/install.php?profile=ding2&locale=en&id=1&op=do","existing pages",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Existing pages",""
"","Simple (with optional filter by bundle)",""
"","Views: Filter by an entity reference view",""
"","Organic groups",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Taxonomy index",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Include the term references created by instances of this field carried by node entities in the core {taxonomy_index} table. This will allow various modules to handle them like core term_reference fields.",""
"","Render Views filters as select list",""
"","Provides a select list for Views filters on this field. This should not be used when there are over 100 entities, as it might cause an out of memory error.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG widget",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Rules component",""
"","Full comment",""
"/index.php","Side",""
"/index.php","Indholdsside med en venstremenu",""
"/index.php","Overskrift",""
"","Panel",""
"","A panel layout broken up into rows and columns.",""
"","@node_type comment",""
"/index.php","Carousel",""
"/install.php?profile=ding2&locale=en&id=1&op=do","@etl",""
"","Full",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Message type category",""
"","Message type",""
"","Full content",""
"","Search index",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Search result highlighting input",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG membership type",""
"/install.php?profile=ding2&locale=en&id=1&op=do","OG membership",""
"","Profile",""
"","Profiles",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Profile2 user profiles.",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Profile type",""
"","Profile types",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Profiles types of Profile2 user profiles.",""
"","Redirect",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Relation",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Search server",""
"","Taxonomy term page",""
"","Taxonomy vocabulary",""
"/index.php","Ting object",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Ting collection",""
"","Workflow",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Workflows",""
"/index.php","Workflow state",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Workflow config transition",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Workflow executed transition",""
"/install.php?profile=ding2&locale=en&id=1&op=do","Workflow scheduled transition",""
"","Wysiwyg profile",""
"","Rules configuration",""
"/index.php","User lists",""
"","Search result",""
"/install.php?profile=ding2&locale=en&id=1&op=do","An <em>Image</em> file is a still visual.",""
"","Video",""
"/install.php?profile=ding2&locale=en&id=1&op=do","A <em>Video</em> file is a moving visual recording.",""
"","Audio",""
