"location","source","target"
"aleph.features.field_instance.inc:77","Interest period","Interesseperiode, hvorefter reserveringer slettes "
"aleph.features.field_instance.inc:78","Preferred branch","Afhentningsfilial"
"aleph.module:102","Aleph service settings",""
"aleph.module:108","Aleph base URL",""
"aleph.module:109","Base URL for Aleph service.",""
"aleph.module:116","Aleph REST base URL",""
"aleph.module:117","Base URL for Aleph REST service.",""
"aleph.module:124","Aleph Main Library",""
"aleph.module:125","The main library. ICE01 for example.",""
"aleph.module:132","Enable reservation deletion",""
"aleph.module:135","Allow users to delete their reservations.",""
"aleph.module:140","Enable logging","Aktivér logging."
"aleph.module:142","Logs requests to the Aleph webservice. Sensitive information such as CPR number and PIN code is stripped from the requests.",""
"aleph.module:182 includes/aleph.reservation.inc:212","aleph",""
"aleph.module:182","Constructor error: “@message”",""
"aleph.module:51","1 month","1 måned"
"aleph.module:51","@count months","@count måneder"
"(duplicate) aleph.install:19","The Aleph module requires SimpleXML to function. Please install and/or enable SimpleXML in your PHP configuration.",""
"(duplicate) aleph.install:26 aleph.info:0","Aleph",""
"(duplicate) aleph.install:27","Aleph configured",""
"(duplicate) aleph.install:31","Aleph not configured",""
"(duplicate) aleph.install:32","Aleph is not properly configured, please visit <a href=""@link"">the settings page</a>.",""
"aleph.info:0","Implementation of Aleph API.",""
"aleph.info:0","Providers",""
"includes/aleph.reservation.inc:212","Unknown reservation type (%type) requested",""
