"location","source","target"
"ting_material_details.features.field_instance.inc:2152","Age","Alder"
"ting_material_details.features.field_instance.inc:2153","Audience","Målgruppe"
"ting_material_details.features.field_instance.inc:2154","Available in","Findes i"
"ting_material_details.features.field_instance.inc:2155","Classification","Klassemærke"
"ting_material_details.features.field_instance.inc:2156","Contains","Indeholder"
"ting_material_details.features.field_instance.inc:2157","Contributor","Bidrag af"
"ting_material_details.features.field_instance.inc:2158","Description","Beskrivelse"
"ting_material_details.features.field_instance.inc:2159","Extent","Omfang"
"ting_material_details.features.field_instance.inc:2160","Format","Format"
"ting_material_details.features.field_instance.inc:2161","Genre","Genre"
"ting_material_details.features.field_instance.inc:2162","Host publication","Værtspublikation"
"ting_material_details.features.field_instance.inc:2163","ISBN no.","ISBN nummer"
"ting_material_details.features.field_instance.inc:2164","Language","Sprog"
"ting_material_details.features.field_instance.inc:2165","Later title","Senere titel"
"ting_material_details.features.field_instance.inc:2166","Musician","Musiker"
"ting_material_details.features.field_instance.inc:2167","Original title","Originaltitel"
"ting_material_details.features.field_instance.inc:2168","Pegi mark","PEGI-mærke"
"ting_material_details.features.field_instance.inc:2169","Previous title","Tidligere titel"
"ting_material_details.features.field_instance.inc:2170","Publisher","Forlag"
"ting_material_details.features.field_instance.inc:2171","Referenced by","Refereret af"
"ting_material_details.features.field_instance.inc:2172","Rights","Rettigheder"
"ting_material_details.features.field_instance.inc:2173","Spatial","Stednavn"
"ting_material_details.features.field_instance.inc:2174","Speech","Talt sprog"
"ting_material_details.features.field_instance.inc:2175","Subject","emne"
"ting_material_details.features.field_instance.inc:2176","Subtitle","Underrubrik"
"ting_material_details.features.field_instance.inc:2177","Type","Type"
"ting_material_details.features.field_instance.inc:2178","Version","Version"
"ting_material_details.field.inc:14;15","Material type",""
"ting_material_details.field.inc:25;26","Material format",""
"ting_material_details.field.inc:36;37","Material available in",""
"ting_material_details.field.inc:47;48","Material language",""
"ting_material_details.field.inc:58;59","Material spoken language",""
"ting_material_details.field.inc:69;70","Material subtitles",""
"ting_material_details.field.inc:80;81","Material genre",""
"ting_material_details.field.inc:91;92","Material subject",""
"ting_material_details.field.inc:102;103","Material classification",""
"ting_material_details.field.inc:113;114","Material spatial",""
"ting_material_details.field.inc:124;125","Material contributor",""
"ting_material_details.field.inc:135;136","Material musician",""
"ting_material_details.field.inc:146;147","Material tracks","Numre"
"ting_material_details.field.inc:157;158","Material referenced by",""
"ting_material_details.field.inc:168;169","Material description",""
"ting_material_details.field.inc:179;180","Material series description",""
"ting_material_details.field.inc:190;191","Material original title",""
"ting_material_details.field.inc:201;202","Material previous title",""
"ting_material_details.field.inc:212;213","Material later title",""
"ting_material_details.field.inc:223;224","Material ISBN no.",""
"ting_material_details.field.inc:234;235","Material URI",""
"ting_material_details.field.inc:245;246","Material version",""
"ting_material_details.field.inc:256;257","Material extent",""
"ting_material_details.field.inc:267;268","Material publisher",""
"ting_material_details.field.inc:278;279","Material rights",""
"ting_material_details.field.inc:289;290","Material audience",""
"ting_material_details.field.inc:300;301","Material age",""
"ting_material_details.field.inc:311;312","Material PEGI-mark","PEGI mærke"
"ting_material_details.field.inc:333","Default","Standard"
"ting_material_details.field.inc:366","Creator search link",""
"ting_material_details.field.inc:373","Subject search link",""
"ting_material_details.field.inc:380","Series search link",""
"ting_material_details.field.inc:387","Part of manifestation search link",""
"ting_material_details.field.inc:394","Search link",""
"ting_material_details.field.inc:443","Search index","Søgeindex"
"ting_material_details.field.inc:448","OpenSearch index to search in.",""
"ting_material_details.field.inc:463","Linked to search in @index index.",""
"ting_material_details.info:0","Ting material details",""
"ting_material_details.info:0","collection of fields holding material details (type,format language etc)",""
"ting_material_details.info:0","Ding!","Ding!"
